squalid	abiectus
fear	metus
anxiety	metus
farcical	mimicus
farce	mimus
battlements	minae
extraordinary	mirus
amazing	mirus
miserable	misellus
poor	misellus
distressing	miser
sad	miserabilis
miserable	miserabilis
lamentable	miserandus
pitiable	miserandus
wretchedness	miseria
distress	miseria
pity	misericordia
compassion	misericordia
pitiful	misericors
merciful	misericors
mild	mitis
clement	mitis
moderating	moderatio
government	moderatio
controlled	moderatus
moderation	modestia
discipline	modestia
moderate	modestus
disciplined	modestus
measure	modus
beat	modus
bribe	moenus
dullness	moestitia
dullness	moestitudo
gloomy	moestus
annoyance	molestia
burdensome	molestus
annoying	molestus
soft	molliculus
effeminate	molliculus
wonder	monstrum
monster	monstrum
strange	monstruosus
ill-omened	monstruosus
moral	moralis
civilized	moratus
diseased	morbidus
disease	morbus
peevishness	morositas
moroseness	morositas
peevish	morosus
persnickety	morosus
death	mors
annihilation	mors
man	mortalis
human	mortalis
mortar	mortarium
silly	morus
mulberry-tree	morus
will	mos
behavior	mos
sword	mucro
woman	muliercula
cleanness	munditia
cleanness	mundities
clean	mundus
toilet-things	mundus
decoration	mundus
bountiful	munificens
generosity	munificentia
bountifulness	munificentia
generous	munificus
bountiful	munificus
fortifying	munitio
fortification	munitio
office	munus
bribes	munus
maimed	mutilus
broken	mutilus
pass	naufragus
ruined	naufragus
rascal	nebulo
compulsory	necesse
carelessness	neclegentia
unaware	necopinans
unawares	necopinans
unexpected	necopmus
morgue	necrocomium
death	necrologia
abominable	nefandus
impious	nefarius
abominable	nefarius
sin	nefas
carelessness	negligentia
activity	negotium
nobody	nemo
worthless	nequam
bad	nequam
worthlessness	nequitia
idleness	nequitia
ignorant	nescius
death	nex
shining	nitens
bright	nitidus
brilliance	nitor
brightness	nitor
straining	nixus
known	nobilis
nobles	nobilis
fame	nobilitas
birth	nobilitas
hurtful	nocens
criminal	nocens
nuisance	nocumentum
pattern	norma
superl	nouus
harm	noxa
crime	noxa
damage	noxalis
fault	noxia
crime	noxia
noxius	noxius
criminal	noxius
fatness	obesitas
fat	obesus
approaching	obitus
approach	obitus
blaming	obiurgatio
forgotten	obliterus
forgotten	oblitterus
forgetfulness	obliuio
dependence	obnoxietas
guilty	obnoxius
indecency	obscaenitas
detestable	obscaenus
impurity	obscenitas
indecency	obscenitas
detestable	obscenus
partic	obsoletus
dilapidated	obsoletus
obstacle	obstaculum
resolution	obstinatio
determination	obstinatio
awry	obstipus
disparagement	obtrectatio
detraction	obtrectatio
critic	obtrectator
opportunity	occasio
chance	occasio
killing	occisio
meeting	occursus
concert-hall	odeum
hatred	odium
antipathy	odium
displeasure	offensa
accident	offensio
partic	offensus
shock	offensus
collision	offensus
official	officialis
obliging	officiosus
attentive	officiosus
dutiful	officium
duty	officium
partic	offirmatus
firm	offirmatus
foreboding	ominosus
heavy	onerosus
burdensome	onerosus
laden	onustus
trouble	opera
aid	opera
convenience	opportunitas
advantageousness	opportunitas
reproach	opprobrium
disgrace	opprobrium
detestable	opscaenus
indecency	opscenitas
detestable	opscenus
desirable	optabilis
desired	optatus
chosen	optatus
optimistic	optimisticus
best	optumus
work	opus
fortifications	opus
speaking	oratio
eloquence	oratio
bereavement	orbitas
bereft	orbus
regular	ordinarius
ordinary	ordinarius
arranged	ordinatus
ordinatus	ordinatus
series	ordo
bank	ordo
desire	orexis
appetite	orexis
orphan	orfanus
dress	ornatus
furnished	ornatus
distinguished	ornatus
orphan	orphanus
believer	orthodoxus
leisure	otium
calm	otium
peaceful	pacalis
peaceful	pacatus
calm	pacatus
dirt	paedor
pale	pallidulus
tattered	pannosus
ragged	pannuceus
ragged	pannucius
cloth	pannus
equal	par
match	par
advocate	paracletus
guest	parasitus
preparation	paratus
prepared	paratus
equipped	paratus
parent	parens
partic	parens
father	parens
similar	parilis
equal	parilis
equality	paritas
parricide	parricida
traitor	parricida
parricidal	parricidalis
assassination	parricidium
bearing	patiens
easy-going	patiens
protection	patrocinium
protectress	patrona
patroness	patrona
fewness	paucitas
paucity	paucitas
trembling	pauidus
trembling	pauor
cheap	pauper
poverty	pauperies
poverty	paupertas
need	paupertas
peace	pax
harmony	pax
sinner	peccator
sinful	peccatorius
error	peccatum
weighed	pensus
convenient	peraccommodatus
sharp	peracutus
cautious	percautus
gracious	perciuilis
courteous	percomis
striker	percussor
assassin	percussor
senseless	perdelirus
ruin	perditus
learned	pereruditus
perfect	perfectus
complete	perfectus
faithlessness	perfidia
faithless	perfidiosus
treacherous	perfidiosus
faithless	perfidus
deceitful	perfidus
deserter	perfuga
shelter	perfugium
asylum	perfugium
pleasant	pergratus
dangerous	periculosus
trial	periculum
attempt	periculum
skill	periitia
perjury	periurium
perjured	periurus
moderate	permediocris
destructive	permitialis
annihilating	permitialis
destruction	permities
annihilation	permities
deadly	perniciabilis
ruinous	perniciabilis
destruction	pernicies
bane	pernicies
dangerous	perniciosus
persistence	perseuerantia
convincing	persuasibilis
firmness	pertinacia
defiance	pertinacia
confusion	perturbatio
commotion	perturbatio
disgraceful	perturpis
scandalous	perturpis
pestiferous	pestifer
destructive	pestifer
pestilential	pestilentia
fever	pestilentia
plague	pestilitas
pest	pestis
curse	pestis
impudent	petulans
aggressive	petulans
impudence	petulantia
immodesty	petulantia
mad	phreneticus
frantic	phreneticus
dutifulness	pietas
goodness	pietas
sluggishness	pigritia
indolence	pigritia
affectionate	piisimus
pass	placabilis
appeasing	placabilis
placability	placabilitas
quiet	placidus
calm	placidus
mob	plebecula
absolute	plenarius
penalty	poena
penal	poenarius
procession	pompa
ostentation	pompa
splendid	pompaticus
splendid	pompatus
devastating	populabundus
capable	potens
power	potentia
force	potentia
power	potestas
ability	potestas
endowed	praeditus
gifted	praeditus
sweet	praedulcis
partic	praefractus
abrupt	praefractus
gift	praemium
rapid	praerapidus
distinguished	praestabilis
superiority	praestantia
excellence	praestantia
praetor	praetor
crookedness	prauitas
crooked	prauus
begging	precatio
prayer	precatio
worth	pretium
money	pretium
distinguished	primarius
supremacy	primatus
first-fruits	primitiae
first	primus
chiefs	primus
chief	princeps
former	prior
ancestors	prior
priory	prioratus
probable	probabilis
admirable	probabilis
probability	probabilitas
approvability	probabilitas
honesty	probitas
problematic	problematicus
abuse	probrum
good	probus
shamelessness	procacitas
effrontery	procacitas
shameless	procax
frivolous	procax
high	procerus
betraying	proditio
betrayal	proditio
betrayer	proditor
traitor	proditor
betrayer	proditrix
battle	proelium
partic	profligatus
depraved	profligatus
projecting	proiectus
prophylactic	prophylacticus
favourable	propitius
propitious	propitius
favorable	prosper
prosperity	prosperitas
success	prosperitas
favorable	prosperus
boldness	proteruitas
boldness	proteruitas
bold	proteruus
foresight	prouidentia
foreseeing	prouidus
aware	prudens
foreseeing	prudentia
discretion	prudentia
abominable	pudendus
modest	pudens
bashful	pudens
modesty	pudicitia
chastity	pudicitia
modest	pudicus
chaste	pudicus
bashfulness	pudor
fight	pugna
battle	pugna
beautiful	pulcher
beauty	pulchritudo
flea	pulicarius
cleansing	purgatio
purification	purgatio
clean	purus
blameless	purus
rotten	puter
crumbling	puter
crumbling	putris
gaining	quaestus
gain	quaestus
complaint	querela
blame	querela
blame	querella
complaining	querimonia
complaint	querimonia
complaining	questus
complaint	questus
refuse	quisquilia
madness	rabies
furious	rabiosulus
robber	rapacida
plunder	raptum
racism	rassismus
debtor	rea
restoration	reconciliatio
re-establishment	reconciliatio
honest	rectus
refuge	refugium
prince	regulus
scrupulousness	religio
obligation	religio
sudden	repentinus
hasty	repentinus
blame	reprehensio
blame	reprensio
repulse	repulsa
rebuff	repulsa
echo	repulsus
venerable	reuerendus
respectful	reuerens
reverence	reuerentia
oak	robur
durable	robustus
scoop	rudis
rough	rudis
rod	rudis
rusticity	rusticitas
countryman	rusticus
farmer	rusticus
sacred	sacer
accursed	sacer
sacrilege	sacrilegium
sacrilegious	sacrilegus
impious	sacrilegus
beneficial	saluber
wholesomeness	salubritas
health	salus
greeting	salus
healthful	salutaris
advantageous	salutaris
safe	saluus
vulnus	sanabilis
curable	sanabilis
sanctuary	sanctuarium
consecrated	sanctus
saint	sanctus
bloodthirsty	sanguinans
health	sanitas
sound	sanus
healthy	sanus
wise	sapiens
philosopher	sapiens
judgment	sapientia
sufficiency	satias
abundance	satias
adequate	satis
full	satur
replete	satur
satiety	saturitas
abundance	saturitas
scab	scabies
itch	scabies
polluted	sceleratus
criminal	sceleratus
wicked	scelestus
accursed	scelestus
crime	scelus
calamity	scelus
knowing	sciens
aware	sciens
decree	scitus
wench	scortillum
stone	scrupulus
scruple	scrupulus
composure	securitas
carelessness	securitas
fearless	securus
safe	securus
sluggishness	segnitia
feebleness	segnitia
cemetery	sementerium
senate	senatus
old	senectus
senility	senectus
senile	senilis
aged	senilis
gloom	senium
sensual	sensualis
sensuality	sensualitas
sensation	sensus
feeling	sensus
row	series
chain	series
talk	sermo
conversation	sermo
slavish	seruilis
slavery	seruitium
slavery	seruitudo
slavery	seruitus
dagger	sica
assassin	sicarius
graphic	significans
expressive	significans
plain	simplex
simplicity	simplicitas
candor	simplicitas
pretence	simulatio
deceit	simulatio
clash	simultas
enmity	simultas
purity	sinceritas
honesty	sinceritas
pure	sincerus
candid	sincerus
thirst	sitis
layout	situs
disuse	situs
partnership	societas
alliance	societas
sharing	socius
ally	socius
folly	socordia
inaction	socordia
weak-minded	socors
inactive	socors
accomplice	sodalis
consolation	solacium
comfort	solacium
consolation	solamen
solace	solamen
comfort	solatium
dense	soldus
dense	solidus
solitude	solitudo
deprivation	solitudo
clever	sollers
accomplished	sollers
cleverness	sollertia
uneasiness	sollicitudo
anxiety	sollicitudo
anxious	sollicitus
genti	solus
alone	solus
dream	somnium
day-dream	somnium
sleep	somnus
guilty	sons
criminal	sons
important	sonticus
wise	sophos
wise	sophus
baseness	sordes
dirty	sordidus
base	sordidus
dirt	sorditudo
fate	sors
lucky	sospes
auspicious	sospes
health	sospitas
tried	spectatus
expectation	spes
shining	splendidus
glittering	splendidus
brilliance	splendor
foul	spurcatus
polluting	spurcidicus
obscene	spurcidicus
abominable	sputatilicus
despicable	sputatilicus
rough	squalidus
filthy	squalidus
roughness	squalor
filth	squalor
firm	stabilis
stable	stabilis
firmness	stabilitas
stability	stabilitas
gecko	stellio
cheating	stellionatus
dung	stercus
filth	stercus
stereotype	stereotypus
barren	sterilis
unfruitfulness	sterilitas
barrenness	sterilitas
dripping	stillicidium
archaic	stlis
cloddishness	stoliditas
brutish	stolidus
briskness	strenuitas
activity	strenuitas
brisk	strenuus
active	strenuus
eager	studiosus
student	studiosus
zeal	studium
devotion	studium
foolishness	stultitia
folly	stultitia
fool	stultus
senseless	stupidus
dull	stupidus
senselessness	stupor
numbness	stupor
disgrace	stuprum
dishonor	stuprum
sweet	suauis
sweetness	suauitudo
substituted	subditicius
counterfeit	subditicius
secret	subdolus
deceitful	subdolus
hated	subinuisus
high	sublimis
elevated	sublimis
sprout	suboles
offspring	suboles
approach	successus
shelter	suffugium
peevish	summorosus
predominant	superans
arrogance	superbia
haughty	superbus
arrogant	superbus
outliving	superstes
superfluous	superuacaneus
heaven	superum
stolen	surrepticius
surreptitious	surrepticius
partic	suspectus
admiration	suspectus
mistrust	suspicio
suspecting	suspiciosus
asthmatic	suspiriosus
sigh	suspiritus
sigh	suspirium
craft	sycophantia
disgust	taedium
aversion	taedium
foul	taeter
black	taeter
accidental	temerarius
chance	temeritas
rashness	temeritas
moderate	temperans
restrained	temperans
temperance	temperantia
moderation	temperantia
drunkenness	temulentia
drunken	temulentus
terrible	terribilis
frightful	terribilis
fright	terror
alarm	terror
terrorism	terrorismus
disgraceful	teter
harsh	tetricus
gloomy	tetricus
fearfulness	timiditas
fearful	timidus
apprehensive	timidus
fear	timor
dread	timor
devout	timoratus
pass	tolerabilis
bearable	tolerabilis
winding	tormentum
missile	tormentum
numbness	torpor
torturer	tortor
deserter	transfuga
agitation	trepidatio
alarm	trepidatio
nervousness	trepiditas
agitated	trepidus
tribune	tribunus
tribe	tribus
sad	tristis
gloomy	tristis
sadness	tristitia
sadness	tristities
grief	tristitudo
monument	trophaeum
confidence	tumidus
swelling	tumor
excitement	tumor
confusion	tumultuatio
tyranny	turannis
disgrace	turpe
ugly	turpis
base	turpis
ugliness	turpitudo
deformity	turpitudo
protected	tutus
despotism	tyrannis
tyranny	tyrannis
udder	uber
rich	uber
abundance	uber
sore	ulcus
avenging	ultio
retribution	ultio
harmonious	unanimis
harmonious	unianimis
urbanity	urbanitas
polish	urbanitas
courteous	urbanus
city	urbs
use	usura
enjoyment	usura
used	usurarius
interest-derived	usurarius
useful	utilis
advantageous	utilis
usefulness	utilitas
advantage	utilitas
useful	utillimus
animosity	odeom
robust	robusteus
damage	iacturarius
inconvenience	imbonitas
generous	inauarus
intellectual	sapientialis
light	scripularis
spurious	subdititius
hedonist	uoluptatiuus
multitude	ussurarius
poem	acroma
poem	acruama
helper	adiutrix
fault	admissom
truculent	aduersabilis
against	aduersom
adultery	adulteriom
truculent	aduorsabilis
opponent	aduorsarius
equity	aecom
illness	aegritas
sickly	aegroticius
impartial	aequibilis
favorable	aequom
eternal	aeuiternus
uncertain	agceps
stroke	alapha
otherness	alienitas
bitterness	amaritia
uncertain	amceps
friend	amecus
friendship	ameicitia
friend	ameicus
friend	ameicus
offense	ammissom
anxious	ancsius
absurdity	apsurditas
opponent	aruorsarius
rough	aspretum
rough	asprus
greedy	auarus
miser	auarus
craving	auens
majestic	augustus
adorned	aureatus
sweetmeat	bellariom
pretty	belus
benefit	benefactom
beneficial	beneficialis
kindness	beneficiom
good-will	beneuolenties
favour	benficiom
favour	benficium
beneficence	benificentia
beneficence	benificientia
favour	benificiom
helpful	beniuolens
benevolence	beniuolentia
benevolent	beniuolus
benign	bonatus
blessings	boni
blessing	bonom
sky	caelom
dirt	caenom
caesar	caesar
fraud	capcio
dear	carus
raillery	cauillatus
security	cautionalis
citizens	ceiueis
citizenship	ceiuitas
firmness	certitas
stubbornness	ceruicositas
stubborn	ceruicosus
civil	ciuilis
citizenship	ciuilitas
citizen	ciuis
destruction	cladis
clearness	claredo
spouse	coiunx
discussion	colloquiom
conflux	colluuio
assembly	comitiae
threatening	comminatiuus
moving	commodom
gain	compendiom
concord	concordium
seasoning	condimentarius
spice	condimentom
conspiracy	coniuratio
impurities	conluuio
marriage	connubiom
misleader	conrumptor
deliberation	consiliom
constant	constans
contagion	contagiom
vulgar	contionalis
mob-like	contionarius
insult	conuiciom
censure	conuitiom
censure	conuitium
cooperative	cooperatiuus
misleader	corrumptor
affable	cosmis
intoxicant	crapularius
pain	cruciamentom
bloody	crudiuus
debauched	cupidinarii
hurt	damnom
harm	dampnom
infirm	debil
squared	defomitatus
divine	deinus
charm	delenimentom
transgression	delictom
charm	delinimentom
mockery	deridiculom
perversity	detestabilitas
loss	detrimentom
charm	dilenimentom
charm	dilenimentum
utterance	dingua
eloquent	dissertus
disagreement	dissidiom
disguising	dissimilatio
divine	diualiis
durability	diuturnitas
gifted	dotatus
doubt	dubiom
ducal	ducalis
good	duenos
sweetness	dulcitas
thicket	dunus
cruelty	duritudo
drunkenness	ebriositas
intoxicating	ebriosus
wildness	ecferitas
savage	ecferus
sick	eger
excellency	egregiatus
anger	eira
elegant	eligans
elegance	eligantia
correct	emendatus
effort	emolimentom
effort	emolimentum
work	emolumentom
error	erratom
hunger	essuries
eternity	eternitas
noble	eugenius
ruin	excidiom
savage	exferus
exile	exiliom
destruction	exitiom
exorable 	exorabilis
funeral	exsequiae
exile	exsiliom
destroyer	exsstinctor
exultation	exssultatio
extinguisher	extinctor
excess	exuperantia
humor	facetiae
wild	faerus
lying	falsilocus
lying	falsiloquium
domestics	familiaricus
hunger	famis
happy	felixs
usurer	fenerator
flithful	fiducus
importunity	flagitiom
blooming	floralis
flower	floretom
flower	floretum
female	foemina
terror	formidolositas
cruelty	formidulositas
strength	fortitas
blessing	fortuniom
enemy	fostis
mad	freneticus
bushes	fructetom
bushes	fructetum
fruitful	frugeus
grain	frumentaceus
corn	frumentom
impudence	frus
fleeing	fugium
funeral	funeralis
funerary	funerarius
theft	furtom
futility	futilitas
glory	geloria
glorious	gloriabilis
famous	gnobilis
graciousness	gratiositas
heaviness	grauitudo
largeness	grossitas
gayety	hilaria
cheerfulness	hilaritudo
homicidal	homicidalis
consideration	honestitas
honesty	honestitudo
virtue	honestom
freighted	honustus
sore	hulcus
damage	iactura
unhealthy	illaudabilis
dirty	illautus
impolite	illepidus
childless	illiberis
uneducated	illitteratus
weakness	imbellia
weak	imbellus
forgetfulness	immemoria
unmindful	immemoris
unmercifulness	immisericordia
immodesty	immodestia
uncleanliness	immunditas
turpitude	immundities
impenitence	impaenitudo
dissimilarity	imparitas
tranquillity	imperturbatio
implacability	implacabilitas
unpunished	impoenis
impenitence	impoenitudo
unpunished	impoenitus
useless	impraestabilis
unacceptable	improbabilis
improvidence	improuidentia
dishonored	impudicatus
intemperance	inabstinentia
unfair	inaequus
weak	inbellus
uncertainty	incertitudo
impolite	inciuilis
incivility	inciuilitas
obscure	inclarus
unpleasant	incomis
unpleasant	incommodesticus
detriment	incommodom
inconsistency	incongruitas
unaware	inconscius
unsuitable	inconsentaneus
dissonant	inconsonus
inglorious	inconspicuus
	incontumacia
arid	incopiosus
disbelief	incredibilitas
security	indemnatio
indemnity	indemnitas
painless	indolorius
diligent	indostruus
inelegance	inelegantia
absurdity	ineptitudo
wanderer	inerratom
wanderer	inerratum
protective	inexitiabilis
inexorability	inexorabilitas
ineloquent	infacundus
unfavorable	infauorabilis
faintness	inficetiae
rude	inficetus
rubbered	infistus
denial	infitias
misfortune	infortuniom
unfruitfulness	infructuositas
cleverness	ingeniositas
intellectual	ingenuos
intellectual	ingenuosus
ingratitude	ingratia
ingratitude	ingratitudo
dishonorable	inhonorificus
hostile	inimicalis
unpleasant	iniocundus
unpraiseworthy	inlaudabilis
immatureness	inmaturitas
immature	inmaturus
incurable	inmedicabilis
unmindfulness	inmemoria
unmindful	inmemoris
innocent	inmerens
pitiless	inmiserabilis
merciless	inmisericors
harsh	inmitis
excess	inmoderatio
excessive	inmoderatus
immoderate	inmodestus
harmless	innocuos
undesirable	inoptabilis
irregular	inordinalis
enormity	inormitas
impatient	inpatiens
fearless	inpauidus
inexperienced	inperitus
tranquillity	inperturbatio
calm	inperturbatus
unappeasable	inplacabilis
implacability	inplacabilitas
unpunished	inpoenitus
unfitness	inportunitas
troublesome	inportunus
useless	inpraestabilis
objectionable	inprobabilis
improvidence	inprouidentia
careless	inprouidus
unforeseen	inprouisus
dishonored	inpudicatus
indecency	inpudicitia
impudent	inpudicus
impunity	inpunitas
unpunished	inpunitus
impure	inpurus
accusation	inputatio
invalidity	inritom
invalidity	inritum
unhealthy	insaluber
unwise	insapiens
insensible	insensualis
insensibility	insensualitas
unskilled	insollers
insomnia	insomnietas
insomnia	insomnitas
instability	instabilitas
grafting	instius
uninterested	instudiosus
unpleasantness	insuauitas
soundness	integritudo
inopportunity	intempestiuitas
fierce	interribilis
fearless	intimidus
insupportableness	intolerabilitas
infirmity	inualitudo
reclutant	inueitus
unforgivable	inueniabilis
impudence	inuerecundia
	inuerus
envy	inuidia
envious	inuidiosus
pacifist	inuiolentus
unwilling	inuitus
joker	iocista
pleasing	iocondus
joke	ioculus
judge	ioudex
trial	ioudiciom
justice	ious
impiety	irreligio
vanity	irritom
vanity	irritum
delight	iucunditudo
judicial	iudicialis
judiciary	iudiciarius
judgment	iudiciom
quarrel	iurgiom
cessation	iustitiom
law	iustom
law	iustum
cheerfulness	laetitas
joy	laetities
joy	laetitudo
alleviation	laeuamentom
alleviation	laeuamentum
unfavorable	laeuos
pulse	legarium
free	leiber
children	leibereis
dispute	leis
letter	leitera
pimping	lenociniom
death	lethom
mitigation	leuamentom
law	lexs
children	liberi
splenetic	lienicus
pulse	ligumen
creeper	linguarium
lawsuit	litigatus
dispute	litigiom
malice	liuor
licentious	lubidinosus
splendor	luculentas
brilliancy	luculentia
excellence	luculentitas
mockery	ludibriom
besmeared	luridatus
leachery	luxoria
master	macister
cursing	maldictom
cursing	maldictum
cursing	maledictom
crime	malefactom
misdeed	maleficiom
evil	malitas
wickedness	malities
wickedness	malitiositas
malevolence	maliuolentia
malevolent	maliuolus
calamity	malom
lie	mendaciom
mendacity	mendacitas
fault	mendom
salary	mercis
merit	meritom
sadness	mestitia
mimic	mimarius
misery	miseritudo
miserable	miserus
portent	monstrom
monstrosity	monstrositas
unnatural	monstrosus
worldly	mundalis
donor	munerarius
dangerous	nauifragus
negligent	negligens
beauty	nitiditas
pain	nocumentom
directly	normalis
new	noualis
nonsense	nugae
nonsensical	nugalia
frivolous	nugalis
fat	obessus
oblivious	obliuialis
scandal	obprobiom
dirty	obscoenus
obstacle	obstaculom
opposite	obuius
hatred	odiom
favour	officiom
diligence	officiositas
beneficial	oitilis
burden	onerositas
supreme	opitimus
juice	opos
slanderer	optrectator
orphanhood	orbitudo
regular	ordinalis
orphanage	orphanitas
leisure	otiom
opposing	ouuius
wife	oxor
raggedness	pannositas
ragged	pannuceatus
rag	pannum
parricide	paricida
murderous	paricidalis
parricide	paricidas
parricide	paricidiom
parricide	paricidium
equal	paris
parricide	parricidas
murderous	parricidatus
parricide	parricidiom
patronage	patrocinalis
defence	patrociniom
fear	pauos
poor	pauperiom
poor	pauperium
sinful	peccans
fault	peccatom
perjury	peiiuriom
perjury	peiiurium
perjured	peiiurus
perjury	peiuriom
perjury	peiurium
perjured	peiurus
risk	periclom
risk	periculom
perjury	periuriom
fatal	pernicialis
destruction	pernities
plague	pesestas
pestilential	pestibilis
pestilential	pestilis
mad	phreniticus
populace	plebicula
penal	poenalis
beautiful	polcer
pompous	pompalis
pompous	pompicus
potential	potentialis
advantage	praemiom
first	preimus
soldiers	primanus
beginning	primom
beginning	primum
acceptable	probatus
shame	probrom
impudence	procacia
favorable	propicius
prosperity	prospera
provincial	prouincialis
pulchralia	pulchralia
beauty	pulchritas
purity	puritas
childhood	puritia
exaggerator	quadriplator
exaggerator	quadruplator
exaggerator	quadrupulator
complaint	quaerella
profit	quaistus
radioactive	radioactiuus
robbery	raptom
refuge	refugiom
reparable	reparabilis
republic	respublica
ignorance	ruditas
rustic	rusticanus
	sacrabilis
sacrilege	sacrilegiom
rage	saeuitas
ferocity	saeuitia
cruelty	saeuities
raging	saeuus
salutary	salubris
ointment	saluia
healing	sanates
sanctuary	sanctuariom
complete	saturus
itching	scabitudo
scoundrel	scelio
bitch	scortillom
scruple	scriptulus
pebble	scripulus
stupidity	secordia
preserver	seispes
cemetery	sementeriom
old	senecio
old	senexs
old	senica
old	senius
speaking	sermonalis
slavery	seruitiom
slaves	seruos
slavish	seruus
slave	seruus
simplicity	simplicitudo
quarrel	slis
consolation	solaciom
rilief	solaminiom
rilief	solaminium
comfort	solatarius
relief	solatiom
firm	soledus
skilled	solers
disturbed	solicitus
dirt	sorditia
filth	sordities
sorcerer	sortiarius
saviour	sospita
filth	squaliditas
unfruitfulness	sterelitas
dripping	stilicidiom
dripping	stillicidiom
vigorous	strenuos
fools	stulti
stupidity	stultities
aghast	stuporatus
dishonor	stuprom
peevish	submorosus
fraudulent	subrepticius
slander	sucophantia
surviving	superstens
superfluous	superuacuaneus
hanging	suspendiom
hanging	suspendium
sighing	suspiriom
suspicion	suspitio
honest	syncerus
tediousness	taediom
hideousness	taetritudo
offensive	taetrus
recognized	testatus
nervous	timedus
apprehension	timos
rope	tormentom
tormentor	torsor
restless	trepidiarius
tribal	tribuarius
tribesman	tribulis
sadness	tristitas
trophy	tropaeom
swollenness	tumiditas
tumor	tumos
stiffness	turpedo
silliness	uaecordia
foolish	uaecors
loveliness	uaenus
validity	ualiditas
strong	ualidus
emptiness	uanitas
vanity	uanities
emptiness	uanitudo
naught	uanum
empty	uanus
clodpate	uaro
simpleton	uarro
desolation	uastitas
ruin	uastitia
ruin	uastities
destruction	uastitudo
desolate	uastus
madness	uecordia
insane	uecors
vigorous	uegetus
seller	uenditor
poisoning	ueneficiom
poisoning	ueneficium
magical	ueneficus
poisoner	ueneficus
poisoner	uenenarius
venom	uenenom
venom	uenenum
loving	uenerarii
loving	uenerarius
reverence	ueneratio
kindness	uenia
pardonable	ueniabilis
forgivable	uenialis
loveliness	uenus
grace	uenustas
lovely	uenustus
verbosity	uerbositas
wordy	uerbosus
modesty	uerecundia
shy	uerecundus
truth	ueritas
reality	uerom
reality	uerum
TRUE	uerus
veteran	ueteranus
lethargy	ueternositas
lethargic	ueternosus
veteran	uetranus
age	uetustas
torment	uexatio
triumphant	uictoriosus
flourishing	uigens
strong	uigoratus
cheap	uilis
cheapness	uilitas
violence	uiolentia
violent	uiolentus
man	uir
strong	uiracius
manly	uiratus
masculine	uirilis
virtue	uirtus
strength	uis
fault	uitiom
fault	uitium
blaming	uituperatio
clamor	uociferatio
willing	uolens
ordinary	uolgaris
crowd	uolgus
wound	uolnus
satisfaction	uoluptabilis
pleasant	uoluptarius
enjoyment	uoluptas
civic	urbicus
cty	urps
usury	ussura
ordinary	uulgaris
multitude	uulgaritas
wound	uulnus
married	uxoratus
soldier	uyr
trusting	fiducialis
unclear	immanifestus
unuseful	incassus
unclear	inmanifestus
freedom	licentiatus
eloquent	linguatus
loquacious	linguax
merchant	mercedarius
