sentence	book	ode	form	polarity	sent_score
0191	1	36	Cressa ne careat pulcra dies nota neu promptae modus amphorae neu morem in Salium sit requies pedum neu multi Damalis meri Bassum Threicia uincat amystide neu desint epulis rosae neu uiuax apium neu breue lilium	positive	2.0
0192	1	36	omnes in Damalin putris deponent oculos nec Damalis nouo diuelletur adultero lasciuis hederis ambitiosior	negative	-1.0
0193	1	37	nunc est bibendum nunc pede libero pulsanda tellus nunc Saliaribus ornare puluinar deorum tempus erat dapibus sodales	positive	1.5
0194	1	37	antehac nefas depromere Caecubum cellis auitis dum Capitolio regina dementis ruinas funus et imperio parabat contaminato cum grege turpium morbo uirorum quidlibet inpotens sperare fortuna que dulci ebria	negative	-5.0
0195	1	37	sed minuit furorem uix una sospes nauis ab ignibus mentem que lymphatam Mareotico redegit in ueros timores Caesar ab Italia uolantem remis adurgens accipiter uelut mollis columbas aut leporem citus uenator in campis niualis Haemoniae daret ut catenis fatale monstrum quae generosius perire quaerens nec muliebriter expauit ensem nec latentis classe cita reparauit oras ausa et iacentem uisere regiam uoltu sereno fortis et asperas tractare serpentes ut atrum corpore conbiberet uenenum deliberata morte ferocior saeuis Liburnis scilicet inuidens priuata deduci superbo non humilis mulier triumpho	negative	-3.0
0196	1	38	Persicos odi puer adparatus displicent nexae philyra coronae mitte sectari rosa quo locorum sera moretur	positive	1.0
0197	1	38	simplici myrto nihil adlabores sedulus curo neque te ministrum dedecet myrtus neque me sub arta uite bibentem	positive	0.5
0198	2	1	motum ex Metello consule ciuicum belli que causas et uitia et modos ludum que Fortunae grauis que principum amicitias et arma nondum expiatis uncta cruoribus periculosae plenum opus aleae tractas et incedis per ignis suppositos cineri doloso	positive	1.0
0199	2	1	paulum seuerae musa tragoediae desit theatris mox ubi publicas res ordinaris grande munus Cecropio repetes coturno insigne maestis praesidium reis et consulenti Pollio curiae cui laurus aeternos honores Delmatico peperit triumpho	mixed	0.0
0200	2	1	iam nunc minaci murmure cornuum perstringis auris iam litui strepunt iam fulgor armorum fugacis terret equos equitum que uoltus	neutral	0.0
0201	2	1	audire magnos iam uideor duces non indecoro puluere sordidos et cuncta terrarum subacta praeter atrocem animum Catonis	negative	-1.0
0202	2	1	Iuno et deorum quisquis amicior Afris inulta cesserat inpotens tellure uictorum nepotes rettulit inferias Iugurthae	negative	-0.5
0203	2	1	quis non Latino sanguine pinguior campus sepulcris inpia proelia testatur auditum que Medis Hesperiae sonitum ruinae	negative	-2.0
0204	2	1	qui gurges aut quae flumina lugubris ignara belli	negative	-1.0
0205	2	1	quod mare Dauniae non decolorauere caedes	negative	-0.5
0206	2	1	quae caret ora cruore nostro	neutral	0.0
0207	2	1	sed ne relictis Musa procax iocis Ceae retractes munera neniae me cum Dionaeo sub antro quaere modos leuiore plectro	negative	-0.5
0208	2	2	nullus argento color est auaris abdito terris inimice lamnae Crispe Sallusti nisi temperato splendeat usu	negative	-2.0
0209	2	2	uiuet extento Proculeius aeuo notus in fratres animi paterni illum aget pinna metuente solui Fama superstes	positive	2.0
0210	2	2	latius regnes auidum domando spiritum quam si Libyam remotis Gadibus iungas et uterque Poenus seruiat uni crescit indulgens sibi dirus hydrops nec sitim pellit nisi causa morbi fugerit uenis et aquosus albo corpore languor	negative	-2.5
0211	2	2	redditum Cyri solio Prahaten dissidens plebi numero beatorum eximit Virtus populum que falsis dedocet uti uocibus regnum et diadema tutum deferens uni propriam que laurum quisquis ingentis oculo inretorto spectat aceruos	positive	1.0
0212	2	3	aequam memento rebus in arduis seruare mentem non secus in bonis ab insolenti temperatam laetitia moriture Delli seu maestus omni tempore uixeris seu te in remoto gramine per dies festos reclinatum bearis interiore nota Falerni	positive	1.0
0213	2	3	quo pinus ingens alba que populus umbram hospitalem consociare amant ramis	negative	-0.5
0214	2	3	quid obliquo laborat lympha fugax trepidare riuo	neutral	0.0
0215	2	3	huc uina et unguenta et nimium breuis flores amoenae ferre iube rosae dum res et aetas et sororum fila trium patiuntur atra	positive	0.5
0216	2	3	cedes coemptis saltibus et domo uilla que flauos quam Tiberis lauit cedes et exstructis in altum diuitiis potietur heres	positive	0.5
0217	2	3	diues ne prisco natus ab Inacho nil interest an pauper et infima de gente sub diuo moreris uictima nil miserantis Orci omnes eodem cogimur omnium uersatur urna serius ocius sors exitura et nos in aeternum exilium inpositura cumbae	negative	-2.0
0218	2	4	ne sit ancillae tibi amor pudori Xanthia Phoceu prius insolentem serua Briseis niueo colore mouit Achillem mouit Aiacem Telamone natum forma captiuae dominum Tecmessae arsit Atrides medio in triumpho uirgine rapta barbarae postquam cecidere turmae Thessalo uictore et ademptus Hector tradidit fessis leuiora tolli Pergama Grais	positive	1.5
0219	2	4	nescias an te generum beati Phyllidis flauae decorent parentes regium certe genus et penatis maeret iniquos	positive	0.5
0220	2	4	crede non illam tibi de scelesta plebe delectam (esse) neque sic fidelem sic lucro auersam potuisse nasci matre pudenda	negative	-0.5
0221	2	4	bracchia et uoltum teretes que suras integer laudo fuge suspicari cuius octauum trepidauit aetas claudere lustrum	positive	0.5
0222	2	5	nondum subacta ferre iugum ualet ceruice nondum munia conparis aequare nec tauri ruentis in uenerem tolerare pondus	positive	1.0
0223	2	5	circa uirentis est animus tuae campos iuuencae nunc fluuiis grauem solantis aestum nunc in udo ludere cum uitulis salicto praegestientis	mixed	0.0
0224	2	5	tolle cupidinem inmitis uuae iam tibi liuidos distinguet autumnus racemos purpureo uarius colore	negative	-1.5
0225	2	5	iam te sequetur currit enim ferox aetas et illi quos tibi dempserit adponet annos iam proterua fronte petet Lalage maritum dilecta quantum non Pholoe fugax non Chloris albo sic umero nitens ut pura nocturno renidet luna mari Cnidius ue Gyges quem si puellarum insereres choro mire sagacis falleret hospites discrimen obscurum solutis crinibus ambiguo que uoltu	negative	-3.0
0226	2	6	Septimi Gadis aditure me cum et Cantabrum indoctum iuga ferre nostra et barbaras Syrtis ubi Maura semper aestuat unda Tibur Argeo positum colono sit meae sedes utinam senectae sit modus lasso maris et uiarum militiae que	positive	0.5
0227	2	6	unde si Parcae prohibent iniquae dulce pellitis ouibus Galaesi flumen et regnata petam Laconi rura Phalantho	negative	-0.5
0228	2	6	ille terrarum mihi praeter omnis angulus ridet ubi non Hymetto mella decedunt uiridi que certat baca Venafro uer ubi longum tepidas que praebet Iuppiter brumas et amicus Aulon fertili Baccho minimum Falernis inuidet uuis	positive	2.0
0229	2	6	ille te me cum locus et beatae postulant arces ibi tu calentem debita sparges lacrima fauillam uatis amici	positive	2.0
0230	2	7	o saepe me cum tempus in ultimum deducte Bruto militiae duce quis te redonauit Quiritem dis patriis Italo que caelo Pompei meorum prime sodalium cum quo morantem saepe diem mero fregi coronatus nitentis malobathro Syrio capillos	positive	2.0
0231	2	7	te cum Philippos et celerem fugam sensi relicta non bene parmula cum fracta (est) uirtus et minaces turpe solum tetigere mento sed me per hostis Mercurius celer denso pauentem sustulit aere te rursus in bellum resorbens unda fretis tulit aestuosis	negative	-1.5
0232	2	7	ergo obligatam redde Ioui dapem longa que fessum militia latus depone sub lauru mea nec parce cadis tibi destinatis	neutral	0.0
0233	2	7	obliuioso leuia Massico ciboria exple funde capacibus unguenta de conchis	neutral	0.0
0234	2	7	quis udo deproperare apio coronas curat ue myrto	neutral	0.0
0235	2	7	quem Venus arbitrum dicet bibendi	positive	1.0
0236	2	7	non ego sanius bacchabor Edonis recepto dulce mihi furere est amico	positive	1.5
0237	2	8	ulla si iuris tibi peierati poena Barine nocuisset umquam dente si nigro fieres uel uno turpior ungui crederem sed tu simul obligasti perfidum uotis caput enitescis pulchrior multo iuuenum que prodis publica cura	negative	-2.5
0238	2	8	expedit matris cineres opertos fallere et toto taciturna noctis signa cum caelo gelida que diuos morte carentis	negative	-0.5
0239	2	8	ridet hoc inquam Venus ipsa rident simplices Nymphae ferus et Cupido semper ardentis acuens sagittas cote cruenta	positive	0.5
0240	2	8	adde quod pubes tibi crescit omnis seruitus crescit noua nec priores inpiae tectum dominae relinquunt saepe minati	negative	-0.5
0241	2	8	te suis matres metuunt iuuencis te senes parci miserae que nuper uirgines nuptae tua ne retardet aura maritos	mixed	0.0
0242	2	9	non semper imbres nubibus hispidos manant in agros aut Mare Caspium uexant inaequales procellae usque nec Armeniis in oris amice Valgi stat glacies iners mensis per omnis aut Aquilonibus querqueta Gargani laborant et foliis uiduantur orni tu semper urges flebilibus modis Mysten ademptum nec tibi uespero surgente decedunt amores nec rapidum fugiente solem	positive	0.5
0243	2	9	at non ter aeuo functus amabilem plorauit omnis Antilochum senex annos nec inpubem parentes Troilon aut Phrygiae sorores fleuere semper	positive	1.5
0244	2	9	desine mollium tandem querellarum et potius noua cantemus Augusti tropaea Caesaris et rigidum Niphaten Medum que flumen gentibus additum uictis minores uoluere uertices intra que praescriptum Gelonos exiguis equitare campis	positive	1.5
0245	2	10	rectius uiues Licini neque altum semper urgendo neque dum procellas cautus horrescis nimium premendo litus iniquum	mixed	0.0
0246	2	10	auream quisquis mediocritatem diligit tutus caret obsoleti sordibus tecti caret inuidenda sobrius aula	negative	-0.5
0247	2	10	saepius uentis agitatur ingens pinus et celsae grauiore casu decidunt turres feriunt que summos fulgura montis	negative	-1.0
0248	2	10	sperat infestis metuit secundis alteram sortem bene praeparatum pectus informis hiemes reducit Iuppiter idem submouet non si male nunc et olim sic erit quondam cithara tacentem suscitat Musam neque semper arcum tendit Apollo	negative	-3.0
0249	2	10	rebus angustis animosus atque fortis adpare sapienter idem contrahes uento nimium secundo turgida uela	positive	0.5
0250	2	11	quid bellicosus Cantaber et Scythes Hirpine Quincti cogitet Hadria diuisus obiecto remittas quaerere nec trepides in usum poscentis aeui pauca	neutral	0.0
0251	2	11	fugit retro leuis iuuentas et decor arida pellente lasciuos amores canitie facilem que somnum non semper idem floribus est honor uernis neque uno luna rubens nitet uoltu quid aeternis minorem consiliis animum fatigas	positive	5.0
0252	2	11	cur non sub alta uel platano uel hac pinu iacentes sic temere et rosa canos odorati capillos dum licet Assyria que nardo potamus uncti	positive	0.5
0253	2	11	dissipat Euhius curas edacis	negative	-1.0
0254	2	11	quis puer ocius restinguet ardentis Falerni pocula praetereunte lympha	positive	0.5
0255	2	11	quis deuium scortum eliciet domo Lyden	neutral	0.0
0256	2	11	eburna dic age cum lyra maturet in comptum Lacaenae more comam religata nodum	positive	0.5
0257	2	12	nolis longa ferae bella Numantiae nec durum Hannibalem nec Siculum mare Poeno purpureum sanguine mollibus aptari citharae modis nec saeuos Lapithas et nimium mero Hylaeum domitos que Herculea manu Telluris iuuenes unde periculum fulgens contremuit domus Saturni ueteris tu que pedestribus dices historiis proelia Caesaris Maecenas melius ducta que per uias regum colla minacium	negative	-3.5
0258	2	12	me dulcis dominae Musa Licymniae cantus me uoluit dicere lucidum fulgentis oculos et bene mutuis fidum pectus amoribus quam nec ferre pedem dedecuit choris nec certare ioco nec dare bracchia ludentem nitidis uirginibus sacro Dianae celebris die	positive	3.5
0259	2	12	num tu quae tenuit diues Achaemenes aut pinguis Phrygiae Mygdonias opes permutare uelis crine Licymniae plenas aut Arabum domos cum flagrantia detorquet ad oscula ceruicem aut facili saeuitia negat quae poscente magis gaudeat eripi interdum rapere occupet	mixed	0.0
0260	2	13	ille et nefasto te posuit die quicumque primum et sacrilega manu produxit arbos in nepotum perniciem opprobrium que pagi illum et parentis crediderim sui fregisse ceruicem et penetralia sparsisse nocturno cruore hospitis ille uenena Colcha et quidquid usquam concipitur nefas tractauit agro qui statuit meo te triste lignum te caducum in domini caput inmerentis	negative	-3.0
0261	2	13	quid quisque uitet numquam homini satis cautum <est> <cautum> est in horas	neutral	0.0
0262	2	13	nauita Bosphorum Poenus perhorrescit neque ultra caeca timet aliunde fata miles sagittas et celerem fugam Parthi catenas Parthus et Italum robur sed inprouisa leti uis rapuit rapiet que gentis	negative	-1.5
0263	2	13	quam paene furuae regna Proserpinae et iudicantem uidimus Aeacum sedes que discretas piorum et Aeoliis fidibus querentem Sappho puellis de popularibus et te sonantem plenius aureo Alcaee plectro dura nauis dura fugae mala dura belli	negative	-1.5
0264	2	13	utrumque sacro digna silentio mirantur umbrae dicere sed magis pugnas et exactos tyrannos densum umeris bibit aure uolgus	positive	1.0
0265	2	13	quid mirum ubi illis carminibus stupens demittit atras belua centiceps auris et intorti capillis Eumenidum recreantur angues	positive	1.0
0266	2	13	quin et Prometheus et Pelopis parens dulci laborem decipitur sono nec curat Orion leones aut timidos agitare lyncas	mixed	0.0
0267	2	14	eheu fugaces Postume Postume labuntur anni nec pietas moram rugis et instanti senectae adferet indomitae que morti non si trecenis quotquot eunt dies amice places inlacrimabilem Plutona tauris qui ter amplum Geryonen Tityon que tristi conpescit unda scilicet omnibus quicumque terrae munere uescimur enauiganda siue reges siue inopes erimus coloni	negative	-0.5
0268	2	14	frustra cruento Marte carebimus fractis que rauci fluctibus Hadriae frustra per autumnos nocentem corporibus metuemus Austrum uisendus ater flumine languido Cocytos errans et Danai genus infame damnatus que longi Sisyphus Aeolides laboris linquenda tellus et domus et placens uxor neque harum quas colis arborum te praeter inuisas cupressos ulla breuem dominum sequetur	negative	-2.0
0269	2	14	absumet heres Caecuba dignior seruata centum clauibus et mero tinguet pauimentum superbo pontificum potiore cenis	mixed	0.0
0270	2	15	iam pauca aratro iugera regiae moles relinquent undique latius extenta uisentur Lucrino stagna lacu platanus que caelebs euincet ulmos	neutral	0.0
0271	2	15	tum uiolaria et myrtus et omnis copia narium spargent oliuetis odorem fertilibus domino priori tum spissa ramis laurea feruidos excludet ictus	positive	1.5
0272	2	15	non ita Romuli praescriptum (erat) et intonsi Catonis auspiciis ueterum que norma priuatus illis census erat breuis commune magnum nulla decempedis metata priuatis opacam porticus excipiebat Arcton nec fortuitum spernere caespitem leges sinebant oppida publico sumptu iubentes et deorum templa nouo decorare saxo	positive	1.5
0273	2	16	otium diuos rogat in patenti prensus Aegaeo simul atra nubes condidit lunam neque certa fulgent sidera nautis otium bello furiosa Thrace otium Medi pharetra decori Grosphe non gemmis neque purpura ue <nale> <ue> nale nec auro	positive	2.5
0274	2	16	non enim gazae neque consularis submouet lictor miseros tumultus mentis et curas laqueata circum tecta uolantis	negative	-1.0
0275	2	16	uiuitur paruo bene cui paternum splendet in mensa tenui salinum nec leuis somnos timor aut cupido sordidus aufert	negative	-1.5
0276	2	16	quid breui fortes iaculamur aeuo multa	positive	0.5
0277	2	16	quid terras alio calentis sole mutamus	neutral	0.0
0278	2	16	patriae quis exsul se quoque fugit	negative	-1.0
0279	2	16	scandit aeratas uitiosa nauis Cura nec turmas equitum relinquit ocior ceruis et agente nimbos ocior Euro	negative	-1.0
0280	2	16	laetus in praesens animus quod ultra est oderit curare et amara lento temperet risu nihil est ab omni parte beatum	positive	2.5
0281	2	16	abstulit clarum cita mors Achillem longa Tithonum minuit senectus et mihi forsan tibi quod negarit porriget hora	negative	-0.5
0282	2	16	te greges centum Siculae que circum <mugiunt> <circum> mugiunt uaccae tibi tollit hinnitum apta quadrigis equa te bis Afro murice tinctae uestiunt lanae mihi parua rura et spiritum Graiae tenuem Camenae Parca non mendax dedit et malignum spernere uolgus	negative	-2.0
0283	2	17	cur me querelis exanimas tuis	negative	-0.5
0284	2	17	nec dis amicum est nec mihi te prius obire Maecenas mearum grande decus columen que rerum	positive	1.0
0285	2	17	a te meae si partem animae rapit maturior uis quid moror altera nec carus aeque nec superstes integer	positive	3.5
0286	2	17	ille dies utramque ducet ruinam	neutral	0.0
0287	2	17	non ego perfidum dixi sacramentum ibimus ibimus utcumque praecedes supremum carpere iter comites parati	negative	-0.5
0288	2	17	me nec Chimaerae spiritus igneae nec si resurgat centimanus Gyges diuellet umquam sic potenti Iustitiae placitum (est) que Parcis	positive	2.0
0289	2	17	seu Libra seu me Scorpios adspicit formidolosus pars uiolentior natalis horae seu tyrannus Hesperiae Capricornus undae utrumque nostrum incredibili modo consentit astrum te Iouis inpio tutela Saturno refulgens eripuit uolucris que Fati tardauit alas cum populus frequens laetum theatris ter crepuit sonum me truncus inlapsus cerebro sustulerat nisi Faunus ictum dextra leuasset Mercurialium custos uirorum	negative	-1.5
0290	2	17	reddere uictimas aedem que uotiuam memento nos humilem feriemus agnam	neutral	0.0
0291	2	18	non ebur neque aureum mea renidet in domo lacunar non trabes Hymettiae premunt columnas ultima recisas Africa neque Attali ignotus heres regiam occupaui nec Laconicas mihi trahunt honestae purpuras clientae	positive	1.0
0292	2	18	at fides et ingeni benigna uena est pauperem que diues me petit nihil supra deos lacesso nec potentem amicum largiora flagito satis beatus unicis Sabinis	positive	5.0
0293	2	18	truditur dies die nouae que pergunt interire lunae tu secanda marmora locas sub ipsum funus et sepulcri inmemor struis domos maris que Bais obstrepentis urges submouere litora parum locuples continente ripa quid quod usque proximos reuellis agri terminos et ultra limites clientium salis auarus	negative	-1.0
0294	2	18	pellitur paternos in sinu ferens deos et uxor et uir sordidos que natos	negative	-0.5
0295	2	18	nulla certior tamen rapacis Orci fine destinata aula diuitem manet erum	positive	1.0
0296	2	18	quid ultra tendis	neutral	0.0
0297	2	18	aequa tellus pauperi recluditur regum que pueris nec satelles Orci callidum Promethea reuexit auro captus	positive	1.0
0298	2	18	hic superbum Tantalum atque Tantali genus coercet hic leuare functum pauperem laboribus uocatus atque non uocatus audit	negative	-2.5
0299	2	19	Bacchum in remotis carmina rupibus uidi docentem credite posteri Nymphas que discentis et auris capripedum Satyrorum acutas	neutral	0.0
0300	2	19	euhoe recenti mens trepidat metu pleno que Bacchi pectore turbidum laetatur euhoe parce Liber parce graui metuende thyrso	negative	-0.5
0301	2	19	fas peruicacis est mihi Thyiadas uini que fontem lactis et uberes cantare riuos atque truncis lapsa cauis iterare mella fas et beatae coniugis additum stellis honorem tecta que Penthei disiecta non leni ruina Thracis et exitium Lycurgi	positive	3.0
0302	2	19	tu flectis amnis tu mare barbarum tu separatis uuidus in iugis nodo coerces uiperino Bistonidum sine fraude crinis	negative	-1.0
0303	2	19	tu cum parentis regna per arduum cohors gigantum scanderet inpia Rhoetum retorsisti leonis unguibus horribili que mala quamquam choreis aptior et iocis ludo que dictus non sat idoneus pugnae ferebaris sed idem pacis eras medius que belli	negative	-1.5
0304	2	19	te uidit insons Cerberus aureo cornu decorum leniter atterens caudam et recedentis trilingui ore pedes tetigit que crura	positive	1.5
0305	2	20	non usitata nec tenui ferar pinna biformis per liquidum aethera uates neque in terris morabor longius inuidia que maior urbis relinquam	negative	-0.5
0306	2	20	non ego pauperum sanguis parentum non ego quem uocas dilecte Maecenas obibo nec Stygia cohibebor unda	negative	-0.5
0307	2	20	iam iam iam iam residunt cruribus asperae pelles et album mutor in alitem superne nascuntur que leues per digitos umeros que plumae	negative	-0.5
0308	2	20	iam Daedaleo notior Icaro uisam gementis litora Bosphori Syrtis que Gaetulas canorus ales Hyperboreos que campos me Colchus et qui dissimulat metum Marsae cohortis Dacus et ultimi noscent Geloni me peritus discet Hiber Rhodani que potor	negative	-1.0
0309	2	20	absint inani funere neniae luctus que turpes et querimoniae conpesce clamorem ac sepulcri mitte superuacuos honores	negative	-2.0
0310	3	1	odi profanum uolgus et arceo	neutral	0.0
0311	3	1	fauete linguis carmina non prius audita Musarum sacerdos uirginibus pueris que canto	negative	-0.5
0312	3	1	regum timendorum in proprios greges reges in ipsos imperium est Iouis clari Giganteo triumpho cuncta supercilio mouentis	positive	0.5
0313	3	1	est ut uiro uir latius ordinet arbusta sulcis hic generosior descendat in campum petitor moribus hic melior que fama contendat illi turba clientium sit maior aequa lege Necessitas sortitur insignis et imos omne capax mouet urna nomen	positive	5.5
0314	3	1	destrictus ensis cui super inpia ceruice pendet non Siculae dapes dulcem elaborabunt saporem non auium citharae que cantus somnum reducent somnus agrestium lenis uirorum non humilis domos fastidit umbrosam que ripam non Zephyris agitata tempe	positive	2.0
0315	3	1	desiderantem quod satis est neque tumultuosum sollicitat mare nec saeuus Arcturi cadentis impetus aut orientis Haedi non uerberatae grandine uineae fundus que mendax arbore nunc aquas culpante nunc torrentia agros sidera nunc hiemes iniquas	negative	-2.5
0316	3	1	contracta pisces aequora sentiunt iactis in altum molibus huc frequens caementa demittit redemptor cum famulis dominus que terrae fastidiosus sed Timor et Minae scandunt eodem quo dominus neque decedit aerata triremi et post equitem sedet atra Cura	negative	-3.0
0317	3	1	quod si dolentem nec Phrygius lapis nec purpurarum sidere clarior delenit usus nec Falerna uitis Achaemenium que costum cur inuidendis postibus et nouo sublime ritu moliar atrium	positive	1.5
0318	3	1	cur ualle permutem Sabina diuitias operosiores	positive	0.5
0319	3	2	angustam amice pauperiem pati robustus acri militia puer condiscat et Parthos ferocis uexet eques metuendus hasta uitam que sub diuo et trepidis agat in rebus	negative	-2.0
0320	3	2	illum ex moenibus hosticis matrona bellantis tyranni prospiciens et adulta uirgo suspiret eheu ne rudis agminum sponsus lacessat regius asperum tactu leonem quem cruenta per medias rapit ira caedes	negative	-5.0
0321	3	2	dulce et decorum est pro patria mori mors et fugacem persequitur uirum nec parcit inbellis iuuentae poplitibus timido que tergo	negative	-1.5
0322	3	2	uirtus repulsae nescia sordidae intaminatis fulget honoribus nec sumit aut ponit securis arbitrio popularis aurae uirtus recludens inmeritis mori caelum negata temptat iter uia coetus que uolgaris et udam spernit humum fugiente pinna	positive	1.5
0323	3	2	est et fideli tuta silentio merces uetabo qui Cereris sacrum uolgarit arcanae sub isdem sit trabibus fragilem que me cum soluat phaselon saepe Diespiter neglectus incesto addidit integrum raro antecedentem scelestum deseruit pede Poena claudo	positive	0.5
0324	3	3	iustum et tenacem propositi uirum non ciuium ardor praua iubentium non uoltus instantis tyranni mente quatit solida neque Auster dux inquieti turbidus Hadriae nec fulminantis magna manus Iouis si fractus inlabatur orbis inpauidum ferient ruinae	positive	3.5
0325	3	3	hac arte Pollux et uagus Hercules enisus arcis attigit igneas quos inter Augustus recumbens purpureo bibet ore nectar hac te merentem Bacche pater tuae uexere tigres indocili iugum collo trahentes hac Quirinus Martis equis Acheronta fugit gratum elocuta consiliantibus Iunone diuis Ilion Ilion fatalis incestus que iudex et mulier peregrina uertit in puluerem ex quo destituit deos mercede pacta Laomedon mihi castae que damnatum Mineruae cum populo et duce fraudulento	positive	4.0
0326	3	3	iam nec Lacaenae splendet adulterae famosus hospes nec Priami domus periura pugnaces Achiuos Hectoreis opibus refringit nostris que ductum seditionibus bellum resedit protinus et grauis iras et inuisum nepotem Troica quem peperit sacerdos Marti redonabo	negative	-3.0
0327	3	3	illum ego lucidas inire sedes discere nectaris sucos et adscribi quietis ordinibus patiar deorum	positive	0.5
0328	3	3	dum longus inter saeuiat Ilion Romam que pontus qualibet exsules in parte regnanto beati dum Priami Paridis que busto insultet armentum et catulos ferae celent inultae stet Capitolium fulgens triumphatis que possit Roma ferox dare iura Medis	negative	-0.5
0329	3	3	horrenda late nomen in ultimas extendat oras qua medius liquor secernit Europen ab Afro qua tumidus rigat arua Nilus	negative	-0.5
0330	3	3	aurum inrepertum et sic melius situm cum terra celat spernere fortior quam cogere humanos in usus omne sacrum rapiente dextra quicumque mundo terminus obstitit hunc tanget armis uisere gestiens qua parte debacchentur ignes qua nebulae pluuii que rores	positive	1.5
0331	3	3	sed bellicosis fata Quiritibus hac lege dico ne nimium pii rebus que fidentes auitae tecta uelint reparare Troiae	positive	0.5
0332	3	3	Troiae renascens alite lugubri fortuna tristi clade iterabitur ducente uictrices cateruas coniuge me Iouis et sorore	negative	-2.0
0333	3	3	ter si resurgat murus aeneus auctore Phoebo ter pereat meis excisus Argiuis ter uxor capta uirum pueros que ploret	positive	0.5
0334	3	3	non hoc iocosae conueniet lyrae	neutral	0.0
0335	3	3	quo Musa tendis	neutral	0.0
0336	3	3	desine peruicax referre sermones deorum et magna modis tenuare paruis	mixed	0.0
0337	3	4	descende caelo et dic age tibia regina longum Calliope melos seu uoce nunc mauis acuta seu fidibus cithara ue Phoebi	positive	1.5
0338	3	4	auditis	neutral	0.0
0339	3	4	an me ludit amabilis insania	mixed	0.0
0340	3	4	audire et uideor pios errare per lucos amoenae quos et aquae subeunt et aurae	positive	1.0
0341	3	4	me fabulosae Volture in Apulo nutricis extra limina Pulliae ludo fatigatum que somno fronde noua puerum palumbes texere mirum quod foret omnibus quicumque celsae nidum Aceruntiae saltus que Bantinos et aruum pingue tenent humilis Forenti ut tuto ab atris corpore uiperis dormirem et ursis ut premerer sacra lauro que conlata que myrto non sine dis animosus infans	positive	2.5
0342	3	4	uester Camenae uester in arduos tollor Sabinos seu mihi frigidum Praeneste seu Tibur supinum seu liquidae placuere Baiae	neutral	0.0
0343	3	4	uestris amicum fontibus et choris non me Philippis uersa acies retro deuota non extinxit arbor nec Sicula Palinurus unda	positive	1.0
0344	3	4	utcumque me cum uos eritis libens insanientem nauita Bosphorum temptabo et urentis harenas litoris Assyrii uiator uisam Britannos hospitibus feros et laetum equino sanguine Concanum uisam pharetratos Gelonos et Scythicum inuiolatus amnem	positive	1.0
0345	3	4	uos Caesarem altum militia simul fessas cohortes abdidit oppidis finire quaerentem labores Pierio recreatis antro uos lene consilium et datis et dato gaudetis almae	positive	2.0
0346	3	4	scimus ut inpios Titanas immanem que turbam fulmine sustulerit caduco qui terram inertem qui mare temperat uentosum et urbis regna que tristia diuos que mortalis que turmas imperio regit unus aequo	negative	-2.0
0347	3	4	magnum illa terrorem intulerat Ioui fidens iuuentus horrida bracchiis fratres que tendentes opaco Pelion inposuisse Olympo	negative	-2.0
0348	3	4	sed quid Typhoeus et ualidus Mimas aut quid minaci Porphyrion statu quid Rhoetus euolsis que truncis Enceladus iaculator audax contra sonantem Palladis aegida possent ruentes	positive	1.0
0349	3	4	hinc auidus stetit Volcanus hinc matrona Iuno et numquam umeris positurus arcum qui rore puro Castaliae lauit crinis solutos qui Lyciae tenet dumeta natalem que siluam Delius et Patareus Apollo	positive	0.5
0350	3	4	uis consili expers mole ruit sua uim temperatam di quoque prouehunt in maius idem odere uiris omne nefas animo mouentis	positive	3.0
0351	3	4	testis mearum centimanus Giges sententiarum notus et integrae temptator Orion Dianae uirginea domitus sagitta	positive	0.5
0352	3	4	iniecta monstris Terra dolet suis maeret que partus fulmine luridum missos ad Orcum nec peredit inpositam celer ignis Aetnen incontinentis nec Tityi iecur reliquit ales nequitiae additus custos amatorem trecentae Pirithoum cohibent catenae	negative	-1.5
0353	3	5	caelo tonantem credidimus Iouem regnare praesens diuus habebitur Augustus adiectis Britannis imperio grauibus que Persis	positive	1.0
0354	3	5	miles ne Crassi coniuge barbara turpis maritus uixit et hostium pro curia inuersi que mores consenuit socerorum in armis sub rege Medo Marsus et Apulus anciliorum et nominis et togae oblitus aeternae que Vestae incolumi Ioue et urbe Roma	negative	-2.0
0355	3	5	hoc cauerat mens prouida Reguli dissentientis condicionibus foedis et exemplo trahenti perniciem ueniens in aeuum si non periret inmiserabilis captiua pubes signa ego Punicis adfixa delubris et arma militibus sine caede dixit derepta uidi uidi ego ciuium retorta tergo bracchia libero portas que non clausas et arua Marte coli populata nostro	negative	-0.5
0356	3	5	auro repensus scilicet acrior miles redibit flagitio additis damnum	negative	-1.5
0357	3	5	neque amissos colores lana refert medicata fuco nec uera uirtus cum semel excidit curat reponi deterioribus si pugnat extricata densis cerua plagis erit ille fortis qui perfidis se credidit hostibus et Marte Poenos proteret altero qui lora restrictis lacertis sensit iners timuit que mortem	negative	-2.0
0358	3	5	hic unde uitam sumeret inscius pacem duello miscuit o pudor o magna Carthago probrosis altior Italiae ruinis	positive	0.5
0359	3	5	fertur pudicae coniugis osculum paruos que natos ut capitis minor ab se remouisse et uirilem toruus humi posuisse uoltum donec labantis consilio patres firmaret auctor numquam alias dato inter que maerentis amicos egregius properaret exul	positive	1.5
